passengers,vehicles,vehicle speed,x-dim,y-dim,time horizon,update interval,immediate pickup penalty,reassignment penalty,waiting penalty,pass1 penalty,pass2 penalty,rideshare flat penalty,zeta,rideshares,run time,number served,empty km 1,empty km 2,total km,average wait,wait times
passengers,vehicles,vehicle speed,x-dim,y-dim,time horizon,update interval,immediate pickup penalty,reassignment penalty,waiting penalty,pass1 penalty,pass2 penalty,rideshare flat penalty,zeta,rideshares,run time,number served,empty km 1,empty km 2,total km,average wait,wait times
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.2,1.0999999999999999,True,1440.0,60,100.71670172025797,31.08621406227016,314.88977240769935,190.33333333333334,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 320.0, 60.0, 130.0, 70.0, 180.0, 20.0, 40.0, 120.0, 0, 0, 0, 0, 340.0, 0, 0, 60.0, 80.0, 40.0, 80.0, 0, 0, 120.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 120.0, 0, 0, 300.0, 320.0, 0, 10.0, 40.0, 360.0, 50.0, 70.0, 50.0, 60.0, 0, 20.0, 0, 40.0, 350.0, 160.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.2,1.2999999999999998,True,1350.0,60,104.3998637446028,30.688145917320554,318.71794655718713,194.0,"[40.0, 30.0, 0, 0, 0, 20.0, 60.0, 0, 300.0, 70.0, 130.0, 120.0, 60.0, 20.0, 40.0, 350.0, 0, 0, 0, 0, 340.0, 0, 0, 360.0, 80.0, 40.0, 80.0, 0, 0, 180.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 320.0, 0, 0, 60.0, 320.0, 0, 10.0, 40.0, 320.0, 50.0, 120.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 120.0, 160.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.2,1.4999999999999998,True,1640.0,60,105.944625488517,33.346933218188354,328.61381848208765,196.83333333333334,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 160.0, 60.0, 130.0, 70.0, 360.0, 20.0, 40.0, 320.0, 0, 0, 0, 0, 320.0, 0, 0, 60.0, 80.0, 40.0, 80.0, 0, 0, 120.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 60.0, 0, 350.0, 0, 0, 120.0, 180.0, 0, 10.0, 40.0, 240.0, 50.0, 100.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 300.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.2,1.6999999999999997,True,1750.0,60,110.4087852202173,27.205872522885393,332.9182424421206,196.83333333333334,"[40.0, 30.0, 0, 0, 0, 20.0, 60.0, 0, 320.0, 160.0, 130.0, 60.0, 120.0, 20.0, 40.0, 180.0, 0, 0, 0, 0, 360.0, 0, 0, 350.0, 80.0, 40.0, 80.0, 0, 0, 120.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 320.0, 0, 0, 240.0, 320.0, 0, 10.0, 40.0, 360.0, 50.0, 70.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 60.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.2,1.8999999999999997,True,1480.0,60,100.8419607440289,27.182997825076495,314.59134100749503,185.83333333333334,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 240.0, 60.0, 130.0, 60.0, 100.0, 20.0, 40.0, 350.0, 0, 0, 0, 0, 320.0, 0, 0, 360.0, 80.0, 40.0, 80.0, 0, 0, 120.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 60.0, 0, 290.0, 0, 0, 180.0, 160.0, 0, 10.0, 40.0, 70.0, 50.0, 120.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 320.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.4,0.7,True,1660.0,60,110.56298402526153,32.362348231919114,335.90746722753806,198.16666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 80.0, 0, 70.0, 140.0, 60.0, 60.0, 290.0, 20.0, 40.0, 320.0, 0, 0, 0, 0, 300.0, 0, 0, 180.0, 90.0, 40.0, 80.0, 0, 0, 320.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 160.0, 0, 0, 120.0, 260.0, 0, 10.0, 40.0, 60.0, 50.0, 270.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 110.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.4,0.8999999999999999,True,2040.0,60,109.23524320001614,27.916124091348188,322.02648610754505,193.83333333333334,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 70.0, 290.0, 140.0, 320.0, 60.0, 20.0, 40.0, 120.0, 0, 0, 0, 0, 300.0, 0, 0, 180.0, 80.0, 40.0, 80.0, 0, 0, 120.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 180.0, 0, 0, 270.0, 70.0, 0, 10.0, 40.0, 60.0, 50.0, 340.0, 50.0, 60.0, 0, 20.0, 0, 40.0, 110.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.4,1.0999999999999999,True,1510.0,60,114.01845791276149,33.15694873560008,327.59287010916483,206.16666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 160.0, 60.0, 120.0, 130.0, 360.0, 20.0, 40.0, 60.0, 0, 0, 0, 0, 70.0, 0, 0, 350.0, 80.0, 40.0, 80.0, 0, 0, 180.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 60.0, 0, 0, 300.0, 120.0, 0, 10.0, 40.0, 120.0, 50.0, 320.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 320.0, 340.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.4,1.2999999999999998,True,1270.0,60,101.83335235687044,32.71554403427504,312.4867977727165,191.66666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 300.0, 340.0, 130.0, 320.0, 120.0, 20.0, 40.0, 60.0, 0, 0, 0, 0, 340.0, 0, 0, 350.0, 80.0, 40.0, 80.0, 0, 0, 180.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 320.0, 0, 0, 60.0, 60.0, 0, 10.0, 40.0, 120.0, 50.0, 120.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 70.0, 160.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.4,1.4999999999999998,True,1680.0,60,97.67803922000596,37.941624422301146,309.782842247245,189.83333333333334,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 100.0, 330.0, 130.0, 320.0, 120.0, 20.0, 40.0, 300.0, 0, 0, 0, 0, 310.0, 0, 0, 160.0, 80.0, 40.0, 80.0, 0, 0, 180.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 60.0, 0, 70.0, 0, 0, 240.0, 320.0, 0, 10.0, 40.0, 70.0, 50.0, 120.0, 50.0, 60.0, 0, 20.0, 0, 40.0, 120.0, 60.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.4,1.6999999999999997,True,1780.0,60,105.38104826605081,33.78743285726336,317.6766540214467,197.0,"[40.0, 30.0, 0, 0, 0, 20.0, 60.0, 0, 160.0, 350.0, 100.0, 320.0, 130.0, 20.0, 40.0, 320.0, 0, 0, 0, 0, 320.0, 0, 0, 70.0, 80.0, 40.0, 80.0, 0, 0, 180.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 60.0, 0, 350.0, 0, 0, 240.0, 120.0, 0, 10.0, 40.0, 70.0, 50.0, 120.0, 50.0, 60.0, 0, 20.0, 0, 40.0, 300.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.4,1.8999999999999997,True,1640.0,60,108.02381379746294,30.23593110456265,328.5697784560519,195.5,"[40.0, 30.0, 0, 0, 0, 20.0, 80.0, 0, 240.0, 360.0, 130.0, 320.0, 320.0, 20.0, 40.0, 350.0, 0, 0, 0, 0, 320.0, 0, 0, 70.0, 80.0, 40.0, 60.0, 0, 0, 180.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 120.0, 0, 0, 160.0, 60.0, 0, 10.0, 40.0, 360.0, 50.0, 120.0, 50.0, 60.0, 0, 20.0, 0, 40.0, 70.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.5999999999999999,0.7,True,1670.0,60,106.46207831157301,33.85491618275883,321.8467784437412,193.66666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 270.0, 0, 80.0, 320.0, 160.0, 60.0, 290.0, 20.0, 40.0, 110.0, 0, 0, 0, 0, 270.0, 0, 0, 60.0, 90.0, 40.0, 80.0, 0, 0, 300.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 120.0, 0, 0, 70.0, 120.0, 0, 10.0, 40.0, 60.0, 50.0, 320.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 140.0, 180.0, 0]"
